Tanggal;Terakhir
04/01/2021;6.225
05/01/2021;6.175
06/01/2021;6.150
07/01/2021;6.075
08/01/2021;6.425
11/01/2021;6.525
12/01/2021;6.525
13/01/2021;6.775
14/01/2021;6.775
15/01/2021;6.575
18/01/2021;6.675
19/01/2021;6.675
20/01/2021;6.675
21/01/2021;6.800
22/01/2021;6.700
25/01/2021;6.475
26/01/2021;6.350
27/01/2021;6.275
28/01/2021;6.275
29/01/2021;6.100
01/02/2021;6.025
02/02/2021;5.975
03/02/2021;6.150
04/02/2021;6.200
05/02/2021;6.100
08/02/2021;6.100
09/02/2021;5.825
10/02/2021;5.900
11/02/2021;5.850
15/02/2021;5.950
16/02/2021;5.925
17/02/2021;5.800
18/02/2021;5.725
19/02/2021;5.775
22/02/2021;5.700
23/02/2021;5.725
24/02/2021;5.625
25/02/2021;5.575
26/02/2021;5.400
01/03/2021;5.600
02/03/2021;5.575
03/03/2021;5.675
04/03/2021;5.575
05/03/2021;5.500
08/03/2021;5.550
09/03/2021;5.525
10/03/2021;5.425
12/03/2021;5.475
15/03/2021;5.525
16/03/2021;5.550
17/03/2021;5.575
18/03/2021;5.725
19/03/2021;5.775
22/03/2021;5.575
23/03/2021;5.575
24/03/2021;5.450
25/03/2021;5.450
26/03/2021;5.600
29/03/2021;5.525
30/03/2021;5.400
31/03/2021;5.275
01/04/2021;5.350
05/04/2021;5.350
06/04/2021;5.350
07/04/2021;5.325
08/04/2021;5.300
09/04/2021;5.275
12/04/2021;5.075
13/04/2021;5.075
14/04/2021;5.250
15/04/2021;5.250
16/04/2021;5.250
19/04/2021;5.200
20/04/2021;5.300
21/04/2021;5.225
22/04/2021;5.450
23/04/2021;5.625
26/04/2021;5.625
27/04/2021;5.525
28/04/2021;5.350
29/04/2021;5.425
30/04/2021;5.500
03/05/2021;5.425
04/05/2021;5.500
05/05/2021;5.525
06/05/2021;5.425
07/05/2021;5.325
10/05/2021;5.375
11/05/2021;5.225
17/05/2021;5.175
18/05/2021;5.150
19/05/2021;5.050
20/05/2021;5.175
21/05/2021;5.050
24/05/2021;5.100
25/05/2021;5.075
27/05/2021;5.150
28/05/2021;5.150
31/05/2021;5.250
02/06/2021;5.325
03/06/2021;5.350
04/06/2021;5.225
07/06/2021;5.250
08/06/2021;5.275
09/06/2021;5.325
10/06/2021;5.400
11/06/2021;5.275
14/06/2021;5.175
15/06/2021;5.150
16/06/2021;5.150
17/06/2021;5.100
18/06/2021;5.000
21/06/2021;4.920
22/06/2021;4.920
23/06/2021;4.930
24/06/2021;4.940
25/06/2021;4.920
28/06/2021;4.710
29/06/2021;4.840
30/06/2021;4.940
01/07/2021;5.025
02/07/2021;5.000
05/07/2021;4.940
06/07/2021;4.900
07/07/2021;4.900
08/07/2021;4.880
09/07/2021;4.910
12/07/2021;4.920
13/07/2021;4.900
14/07/2021;4.730
15/07/2021;4.810
16/07/2021;4.880
19/07/2021;4.780
21/07/2021;4.870
22/07/2021;4.980
23/07/2021;4.950
26/07/2021;4.770
27/07/2021;4.760
28/07/2021;4.710
29/07/2021;4.650
30/07/2021;4.720
02/08/2021;4.820
03/08/2021;4.940
04/08/2021;4.900
05/08/2021;4.890
06/08/2021;4.940
09/08/2021;4.860
10/08/2021;4.910
12/08/2021;4.940
13/08/2021;5.025
16/08/2021;5.075
18/08/2021;5.225
19/08/2021;5.150
20/08/2021;5.100
23/08/2021;5.100
24/08/2021;5.075
25/08/2021;5.150
26/08/2021;5.100
27/08/2021;5.050
30/08/2021;5.275
31/08/2021;5.225
01/09/2021;5.175
02/09/2021;5.250
03/09/2021;5.350
06/09/2021;5.425
07/09/2021;5.350
08/09/2021;5.250
09/09/2021;5.450
10/09/2021;5.425
13/09/2021;5.450
14/09/2021;5.525
15/09/2021;5.400
16/09/2021;5.375
17/09/2021;5.425
20/09/2021;5.300
21/09/2021;5.225
22/09/2021;5.275
23/09/2021;5.150
24/09/2021;5.150
27/09/2021;5.175
28/09/2021;5.075
29/09/2021;5.325
30/09/2021;5.500
01/10/2021;5.450
04/10/2021;5.575
05/10/2021;5.550
06/10/2021;5.975
07/10/2021;5.700
08/10/2021;5.900
11/10/2021;5.775
12/10/2021;5.875
13/10/2021;6.275
14/10/2021;6.225
15/10/2021;6.250
18/10/2021;6.225
19/10/2021;6.350
21/10/2021;6.150
22/10/2021;6.175
25/10/2021;6.050
26/10/2021;6.150
27/10/2021;6.000
28/10/2021;6.000
29/10/2021;6.025
01/11/2021;6.025
02/11/2021;5.900
03/11/2021;5.975
04/11/2021;5.975
05/11/2021;5.925
08/11/2021;5.925
09/11/2021;5.850
10/11/2021;6.175
11/11/2021;6.175
12/11/2021;6.150
15/11/2021;6.125
16/11/2021;6.175
17/11/2021;6.250
18/11/2021;6.200
19/11/2021;6.225
22/11/2021;6.200
23/11/2021;6.250
24/11/2021;6.225
25/11/2021;6.225
26/11/2021;5.900
29/11/2021;5.975
30/11/2021;5.775
01/12/2021;5.650
02/12/2021;5.850
03/12/2021;5.750
06/12/2021;5.650
07/12/2021;5.925
08/12/2021;5.800
09/12/2021;6.000
10/12/2021;5.925
13/12/2021;5.900
14/12/2021;5.875
15/12/2021;6.000
16/12/2021;5.800
17/12/2021;5.800
20/12/2021;5.675
21/12/2021;5.650
22/12/2021;5.625
23/12/2021;5.725
24/12/2021;5.675
27/12/2021;5.675
28/12/2021;5.725
29/12/2021;5.750
30/12/2021;5.700
