Tanggal;Terakhir;;;
28/04/2022;7.575;;;
27/04/2022;7.125;;;
26/04/2022;7.200;;;
25/04/2022;7.075;;;
22/04/2022;7.050;;;
21/04/2022;7.000;;;
20/04/2022;6.900;;;
19/04/2022;6.900;;;
18/04/2022;7.000;;;
14/04/2022;6.875;;;
13/04/2022;6.975;;;
12/04/2022;6.950;;;
11/04/2022;6.850;;;
08/04/2022;7.000;;;
07/04/2022;6.900;;;
06/04/2022;7.000;;;
05/04/2022;6.900;;;
04/04/2022;6.825;;;
01/04/2022;6.700;;;
31/03/2022;6.575;;;
30/03/2022;6.650;;;
29/03/2022;6.550;;;
28/03/2022;6.700;;;
25/03/2022;6.400;;;
24/03/2022;6.575;;;
23/03/2022;6.475;;;
22/03/2022;6.575;;;
21/03/2022;6.600;;;
18/03/2022;6.400;;;
17/03/2022;6.425;;;
16/03/2022;6.400;;;
15/03/2022;6.300;;;
14/03/2022;6.375;;;
11/03/2022;6.275;;;
10/03/2022;6.250;;;
09/03/2022;6.300;;;
08/03/2022;6.250;;;
07/03/2022;5.800;;;
04/03/2022;5.625;;;
02/03/2022;5.525;;;
01/03/2022;5.700;;;
25/02/2022;5.800;;;
24/02/2022;5.700;;;
23/02/2022;5.650;;;
22/02/2022;5.575;;;
21/02/2022;5.575;;;
18/02/2022;5.600;;;
17/02/2022;5.475;;;
16/02/2022;5.475;;;
15/02/2022;5.500;;;
14/02/2022;5.300;;;
11/02/2022;5.450;;;
10/02/2022;5.450;;;
09/02/2022;5.550;;;
08/02/2022;5.550;;;
07/02/2022;5.475;;;
04/02/2022;5.500;;;
03/02/2022;5.500;;;
02/02/2022;5.500;;;
31/01/2022;5.475;;;
28/01/2022;5.475;;;
27/01/2022;5.475;;;
26/01/2022;5.450;;;
25/01/2022;5.450;;;
24/01/2022;5.525;;;
21/01/2022;5.600;;;
20/01/2022;5.525;;;
19/01/2022;5.600;;;
18/01/2022;5.650;;;
17/01/2022;5.675;;;
14/01/2022;5.725;;;
13/01/2022;5.775;;;
12/01/2022;5.725;;;
11/01/2022;5.700;;;
10/01/2022;5.650;;;
07/01/2022;5.700;;;
06/01/2022;5.675;;;
05/01/2022;5.575;;;
04/01/2022;5.775;;;
03/01/2022;5.725;;;
